f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,label
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4194304.0,16.0,4.0,0.0,167936.0,48128.0,512.0,274.0,0.0,1048576.0,4096.0,4096.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.301,0.0,1.0,1.0,0.301,0.0,-1.0,-1.0,-1.0,1.738,4.904,7.632,184.0,0.0,128.0,66.0,0.0,96.0,141.0,168.0,0.0,128.0,253.0,255.0,104.0,179.0,92.0,61.0,179.0,106.0,64.0,104.0,0.0,48.0,0.0,0.0,104.0,69.0,181.0,0.0,0.0,106.0,0.0,255.0,144.0,234.0,0.0,0.0,0.0,137.0,68.0,36.0,28.0,187.0,57.0,3.0,0.0,0.0,141.0,181.0,210.0,198.0,0.0,0.0,139.0,248.0,80.0,232.0,10.0,0.0,0.0,0.0,116.0,7.0,139.0,68.0,2.0,8.0,8.0,1.0,2.0,1.0,-1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4194304.0,4096.0,4.0,0.0,217088.0,0.0,4096.0,61440.0,0.0,1048576.0,4096.0,4096.0,1.0,4.0,0.2,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.875,0.0,5.0,0.875,0.042,0.0,-1.0,-1.0,4.675,3.448,6.147,6.632,233.0,37.0,228.0,255.0,255.0,0.0,0.0,0.0,82.0,57.0,249.0,114.0,30.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,28.0,3.0,0.0,46.0,28.0,3.0,0.0,38.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,28.0,3.0,0.0,54.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,-1.0,1.0,26.0,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1073741824.0,3592192.0,6.0,0.0,4136960.0,540672.0,4096.0,4096.0,3588096.0,1048576.0,4096.0,4096.0,1.0,2.0,0.333,2.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.994,1.0,3.0,0.994,0.0,0.0,-1.0,-1.0,4.221,4.614,3.885,7.845,83.0,86.0,87.0,85.0,72.0,141.0,53.0,21.0,208.0,247.0,255.0,72.0,141.0,190.0,0.0,64.0,201.0,255.0,87.0,49.0,219.0,49.0,201.0,72.0,131.0,205.0,255.0,232.0,80.0,0.0,0.0,0.0,1.0,219.0,116.0,2.0,243.0,195.0,139.0,30.0,72.0,131.0,238.0,252.0,17.0,219.0,138.0,22.0,243.0,195.0,72.0,141.0,4.0,47.0,131.0,249.0,5.0,138.0,16.0,118.0,33.0,72.0,131.0,253.0,4.0,6.0,4.0,0.667,-1.0,1.0,8.0,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1073741824.0,3194880.0,6.0,0.0,3489792.0,278528.0,1024.0,4096.0,3190784.0,1048576.0,4096.0,4096.0,2.0,3.0,0.4,2.0,5.0,2.0,2.0,5.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.232,0.0,4.0,1.0,0.232,0.0,-1.0,-1.0,4.238,4.293,2.472,6.357,72.0,131.0,236.0,40.0,232.0,39.0,7.0,0.0,0.0,72.0,131.0,196.0,40.0,233.0,114.0,254.0,255.0,255.0,204.0,204.0,64.0,83.0,72.0,131.0,236.0,32.0,72.0,139.0,217.0,51.0,201.0,255.0,21.0,43.0,29.0,0.0,0.0,72.0,139.0,203.0,255.0,21.0,242.0,28.0,0.0,0.0,255.0,21.0,108.0,29.0,0.0,0.0,72.0,139.0,200.0,186.0,9.0,4.0,0.0,192.0,72.0,131.0,196.0,32.0,17.0,307.0,8.0,0.026,-1.0,1.0,8.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74443.0,4194304.0,4096.0,5.0,1.0,49152.0,2048.0,512.0,18432.0,0.0,4096.0,4096.0,4096.0,1.0,2.0,0.333,2.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.014,0.0,1.0,1.067,0.25,0.0,-1.0,-1.0,5.104,2.448,3.369,5.736,96.0,232.0,0.0,0.0,0.0,0.0,88.0,5.0,159.0,2.0,0.0,0.0,139.0,48.0,3.0,240.0,43.0,192.0,139.0,254.0,102.0,173.0,193.0,224.0,12.0,139.0,200.0,80.0,173.0,43.0,200.0,3.0,241.0,139.0,200.0,87.0,81.0,73.0,138.0,68.0,57.0,6.0,136.0,4.0,49.0,117.0,246.0,139.0,214.0,139.0,207.0,232.0,92.0,0.0,0.0,0.0,94.0,90.0,43.0,192.0,137.0,4.0,50.0,180.0,5.0,5.0,2.0,0.4,2.0,1.0,26.0,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1073741824.0,3592192.0,6.0,0.0,4136960.0,540672.0,4096.0,4096.0,3588096.0,1048576.0,4096.0,4096.0,1.0,2.0,0.333,2.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.994,1.0,3.0,0.994,0.0,0.0,-1.0,-1.0,4.221,4.614,2.417,7.845,83.0,86.0,87.0,85.0,72.0,141.0,53.0,21.0,208.0,247.0,255.0,72.0,141.0,190.0,0.0,64.0,201.0,255.0,87.0,49.0,219.0,49.0,201.0,72.0,131.0,205.0,255.0,232.0,80.0,0.0,0.0,0.0,1.0,219.0,116.0,2.0,243.0,195.0,139.0,30.0,72.0,131.0,238.0,252.0,17.0,219.0,138.0,22.0,243.0,195.0,72.0,141.0,4.0,47.0,131.0,249.0,5.0,138.0,16.0,118.0,33.0,72.0,131.0,253.0,4.0,6.0,4.0,0.667,-1.0,1.0,8.0,0
1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4194304.0,8192.0,4.0,0.0,245760.0,219648.0,512.0,2560.0,0.0,1048576.0,4096.0,8192.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42.667,1.0,0.0,7.252,-1.0,3.676,2.718,6.999,7.252,255.0,37.0,0.0,32.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,14.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4194304.0,4096.0,4.0,0.0,73728.0,16384.0,4096.0,20480.0,0.0,1048576.0,4096.0,4096.0,6.0,0.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.009,0.0,1.0,2.675,0.444,0.0,3.035,0.403,1.127,3.497,2.263,3.035,85.0,139.0,236.0,106.0,255.0,104.0,224.0,82.0,64.0,0.0,104.0,54.0,43.0,64.0,0.0,100.0,161.0,0.0,0.0,0.0,0.0,80.0,100.0,137.0,37.0,0.0,0.0,0.0,0.0,131.0,236.0,104.0,83.0,86.0,87.0,137.0,101.0,232.0,51.0,219.0,137.0,93.0,252.0,106.0,2.0,255.0,21.0,48.0,118.0,64.0,0.0,89.0,131.0,13.0,192.0,107.0,64.0,0.0,255.0,131.0,13.0,208.0,107.0,64.0,4.0,143.0,3.0,0.021,25.0,1.0,24.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4194304.0,4096.0,4.0,0.0,491520.0,376832.0,1024.0,72192.0,0.0,1048576.0,16384.0,4096.0,5.0,5.0,0.5,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,9.0,1.0,0.0,0.0,-1.0,-1.0,6.671,2.333,6.985,4.792,96.0,232.0,3.0,0.0,0.0,0.0,233.0,235.0,4.0,93.0,69.0,85.0,195.0,232.0,1.0,0.0,0.0,0.0,235.0,93.0,187.0,237.0,255.0,255.0,255.0,3.0,221.0,129.0,235.0,0.0,64.0,7.0,0.0,131.0,189.0,34.0,4.0,0.0,0.0,0.0,137.0,157.0,34.0,4.0,0.0,0.0,15.0,133.0,101.0,3.0,0.0,0.0,141.0,133.0,46.0,4.0,0.0,0.0,80.0,255.0,149.0,77.0,15.0,0.0,14.0,15.0,4.0,0.267,-1.0,1.0,210.0,1
1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4194304.0,8192.0,4.0,0.0,1032192.0,901120.0,512.0,108032.0,0.0,1048576.0,4096.0,8192.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42.667,1.0,0.0,7.904,-1.0,3.653,2.759,7.621,7.904,255.0,37.0,0.0,32.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,46.0,0
